train_acc,train_loss,val_acc,val_loss
0.009452631578947369,4.6086082,0.0104,4.6067023
0.008947368421052631,4.606452,0.0076,4.6063476
0.00863157894736842,4.6061378,0.0076,4.6066437
0.00928421052631579,4.606108,0.007599999999999999,4.606827
0.009452631578947369,4.605955,0.006400000000000001,4.6067824
0.008778947368421053,4.605922,0.0068,4.6071243
0.008947368421052631,4.605935,0.007200000000000001,4.6068807
0.009178947368421054,4.6058345,0.006400000000000001,4.606748
0.008757894736842105,4.605836,0.006400000000000001,4.606929
0.009242105263157894,4.6058164,0.0064,4.606735
0.009642105263157895,4.605748,0.0072,4.6067476
0.009410526315789475,4.6058326,0.007200000000000001,4.60677
0.00951578947368421,4.6057453,0.0076,4.606788
0.009221052631578948,4.605762,0.0076,4.6069474
0.008526315789473686,4.60574,0.0064,4.606821
0.009494736842105262,4.605712,0.0064,4.6067715
0.00903157894736842,4.605731,0.006400000000000001,4.6069145
0.009642105263157895,4.605706,0.0072,4.6067095
0.00831578947368421,4.6056886,0.0064,4.606902
0.009263157894736843,4.6056805,0.0072,4.606828
0.009578947368421051,4.605668,0.0064,4.606923
0.008652631578947367,4.605676,0.0076,4.6067657
0.009263157894736843,4.605668,0.0076,4.6066856
0.008926315789473685,4.6056376,0.0072,4.6068172
